Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;EFA_weighted;EFA_km_weighted;EFA_WTT_weighted;EFA_WTT_km_weighted;EFA_WTW_weighted;EFA_WTW_km_weighted
2020Average[3.3];pass. car;2020;BAU D HB3;CO;Urban;TØ,8-9h,1-2km;8.590222359;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO;Urban;TØ,9-10h,1-2km;9.047967911;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO;Urban;TØ,10-11h,1-2km;9.505710602;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO;Urban;TØ,11-12h,1-2km;9.963456154;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;CO;Urban;TØ,>12h,1-2km;10.19232464;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;NOx;Urban;TØ,0-1h,0-1km;0.07868617;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;NOx;Urban;TØ,1-2h,0-1km;0.142174467;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;NOx;Urban;TØ,2-3h,0-1km;0.140740111;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;NOx;Urban;TØ,3-4h,0-1km;0.146780074;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;NOx;Urban;TØ,4-5h,0-1km;0.147275537;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;NOx;Urban;TØ,5-6h,0-1km;0.142199814;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;NOx;Urban;TØ,6-7h,0-1km;0.137084946;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;NOx;Urban;TØ,7-8h,0-1km;0.131930545;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;NOx;Urban;TØ,8-9h,0-1km;0.126736194;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;NOx;Urban;TØ,9-10h,0-1km;0.121501543;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;NOx;Urban;TØ,10-11h,0-1km;0.116226174;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;NOx;Urban;TØ,11-12h,0-1km;0.110909775;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;NOx;Urban;TØ,>12h,0-1km;0.108237356;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;NOx;Urban;TØ,0-1h,1-2km;0.066303231;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;NOx;Urban;TØ,1-2h,1-2km;0.150040492;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;NOx;Urban;TØ,2-3h,1-2km;0.158056065;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;NOx;Urban;TØ,3-4h,1-2km;0.16641593;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;NOx;Urban;TØ,4-5h,1-2km;0.16659081;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;NOx;Urban;TØ,5-6h,1-2km;0.158574954;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;NOx;Urban;TØ,6-7h,1-2km;0.150551051;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;NOx;Urban;TØ,7-8h,1-2km;0.142519102;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;NOx;Urban;TØ,8-9h,1-2km;0.134479836;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;NOx;Urban;TØ,9-10h,1-2km;0.126433358;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;NOx;Urban;TØ,10-11h,1-2km;0.118379951;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;NOx;Urban;TØ,11-12h,1-2km;0.1103196;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;NOx;Urban;TØ,>12h,1-2km;0.106287092;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;PM;Urban;TØ,0-1h,0-1km;0.000635558;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;PM;Urban;TØ,1-2h,0-1km;0.001117582;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;PM;Urban;TØ,2-3h,0-1km;0.00123851;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;PM;Urban;TØ,3-4h,0-1km;0.001394045;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;PM;Urban;TØ,4-5h,0-1km;0.001522915;;;;;
2020Average[3.3];pass. car;2020;BAU D HB3;PM;Urban;TØ,5-6h,0-1km;0.001631394;;;;;
